frame_id,timestamp_s,N_vehicles,P_processed,S_segments,K_beams,sum_m_k,num_hits,time_build_sec,time_total_sec,memory_rss_mb,engine
253,25.3,11,11,44,241,10604,119,0.0001562000034027733,0.010060900000098627,2297.15234375,vanilla
254,25.4,11,11,44,241,10604,92,0.00019799999427050352,0.009991600003559142,2297.16796875,vanilla
255,25.5,12,12,48,241,11568,69,0.0002069000038318336,0.010841499999514781,2297.1796875,vanilla
256,25.6,13,13,52,241,12532,69,0.0001714000027277507,0.011701700001140125,2297.19140625,vanilla
257,25.7,13,13,52,241,12532,69,0.00020289999520173296,0.01163049999740906,2297.19140625,vanilla
258,25.8,13,13,52,241,12532,69,0.00017859999934444204,0.011713499996403698,2297.19921875,vanilla
259,25.9,12,12,48,241,11568,69,0.00014309999824035913,0.010721700004069135,2297.20703125,vanilla
260,26.0,12,12,48,241,11568,69,0.00015269999857991934,0.01070610000169836,2297.20703125,vanilla
261,26.1,12,12,48,241,11568,69,0.00013970000145491213,0.011010199996235315,2297.2109375,vanilla
262,26.2,12,12,48,241,11568,84,0.00019379999866941944,0.010899599998083431,2297.2109375,vanilla
263,26.3,12,12,48,241,11568,88,0.0001638999965507537,0.010857000001124106,2297.2109375,vanilla
264,26.4,12,12,48,241,11568,92,0.0001875000016298145,0.010890000005019829,2297.21484375,vanilla
265,26.5,12,12,48,241,11568,96,0.00015250000433297828,0.010769900000013877,2297.21484375,vanilla
266,26.6,12,12,48,241,11568,98,0.0001562000034027733,0.010917100000369828,2297.22265625,vanilla
267,26.7,12,12,48,241,11568,104,0.000174299995705951,0.010852200000954326,2297.23046875,vanilla
268,26.8,12,12,48,241,11568,109,0.00018489999638404697,0.010777199997392017,2297.234375,vanilla
269,26.9,13,13,52,241,12532,115,0.0001570999957039021,0.011699399998178706,2297.234375,vanilla
270,27.0,13,13,52,241,12532,124,0.00015159999747993425,0.011686300000292249,2297.2421875,vanilla
